pathway,pval,padj,log2err,ES,NES,size,leadingEdge
BIOCARTA_41BB_PATHWAY,0.045219082,0.137963629,0.321775918,0.598160594,1.530612455,15,
BIOCARTA_AGR_PATHWAY,0.569811321,0.841292107,0.069448144,0.295584466,0.923127349,32,
BIOCARTA_AKT_PATHWAY,0.014072828,0.057160004,0.380730401,0.578738741,1.625772149,21,
BIOCARTA_ALK_PATHWAY,1.84E-04,0.001783301,0.518848078,0.633687186,2.00305623,34,
BIOCARTA_AMI_PATHWAY,0.034917428,0.112810152,0.321775918,0.598844798,1.55735708,16,
BIOCARTA_ARAP_PATHWAY,0.955512573,1,0.046230252,0.231878222,0.615024389,17,
BIOCARTA_ARENRF2_PATHWAY,0.053653993,0.154085917,0.321775918,0.544831148,1.488518797,19,
BIOCARTA_ARF_PATHWAY,0.067698259,0.180589681,0.241339977,0.536074202,1.421861462,17,
BIOCARTA_AT1R_PATHWAY,0.616981132,0.884474041,0.065532103,0.299077244,0.900370204,27,
BIOCARTA_ATM_PATHWAY,0.080152672,0.204684831,0.219250347,0.506454157,1.383670032,19,
BIOCARTA_ATRBRCA_PATHWAY,0.385796545,0.650908017,0.091107313,0.374168728,1.051101393,21,
BIOCARTA_BAD_PATHWAY,0.462427746,0.734969702,0.081302735,0.35009534,0.997814679,22,
BIOCARTA_BARRESTIN_SRC_PATHWAY,0.631477927,0.894858168,0.065235306,0.337974075,0.878936111,16,
BIOCARTA_BCELLSURVIVAL_PATHWAY,0.051724138,0.150207025,0.276500599,0.577941193,1.478873729,15,
BIOCARTA_BCR_PATHWAY,0.027551693,0.096602207,0.352487858,0.494583045,1.544911338,33,
BIOCARTA_BIOPEPTIDES_PATHWAY,1,1,0.041992622,0.139831435,0.425819658,28,
BIOCARTA_CALCINEURIN_PATHWAY,0.25862069,0.489001189,0.115734448,0.43517258,1.169406214,18,
BIOCARTA_CARDIACEGF_PATHWAY,0.018375451,0.07057031,0.352487858,0.629189738,1.668837331,17,
BIOCARTA_CARM_ER_PATHWAY,0.888888889,1,0.048311758,0.234227468,0.695282658,25,
BIOCARTA_CASPASE_PATHWAY,0.004031795,0.022169257,0.407017919,0.637927503,1.818171664,22,
